P (s),time (s),Stim_Mech,Obs1_Mech,Obs2_Mech,Obs3_Mech,Obs4_Mech,Obs5_Mech,Obs6_Mech,Stim_Hyd,Obs1_Hyd,Obs2_Hyd,Obs3_Hyd,Obs4_Hyd,Obs5_Hyd,Obs6_Hyd
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,-2.00E-10,-2.30E-12,8.94E-13,2.33E-13,1.58E-14,1.50E-15,-1.65E-15,-12.3194756,0.127744546,0.043290918,0.010038388,0.004002518,0.002390916,0.001140956
10,0.2,-1.01E-09,-5.01E-11,1.41E-12,3.81E-12,1.17E-12,1.77E-13,-2.17E-14,-51.69940515,0.508552527,0.368461955,0.13261391,0.041246469,0.017386746,0.008735176
10,0.3,-2.61E-09,-2.17E-10,-1.96E-11,1.11E-11,6.65E-12,2.01E-12,-1.68E-13,-118.9699925,0.794926795,1.05860312,0.515741673,0.189150543,0.065409289,0.025477615
10,0.4,-5.07E-09,-5.68E-10,-9.31E-11,1.41E-11,1.78E-11,8.17E-12,-3.14E-13,-214.0018792,0.642040772,2.047260494,1.23268751,0.530041783,0.189072002,0.054079652
10,0.5,-8.46E-09,-1.16E-09,-2.52E-10,-2.43E-13,3.26E-11,2.07E-11,2.75E-13,-336.1800268,-0.228900502,3.22255311,2.294515242,1.120630935,0.438817134,0.104581042
10,0.6,-1.28E-08,-2.03E-09,-5.27E-10,-4.73E-11,4.66E-11,4.05E-11,2.67E-12,-484.5747643,-2.053509431,4.464739773,3.685406797,1.998358395,0.861027991,0.192118974
10,0.7,-1.81E-08,-3.23E-09,-9.47E-10,-1.44E-10,5.36E-11,6.71E-11,8.11E-12,-657.971437,-5.024523057,5.652738636,5.368778283,3.182005083,1.494291278,0.335670755
10,0.8,-2.45E-08,-4.79E-09,-1.54E-09,-3.06E-10,4.59E-11,9.86E-11,1.78E-11,-854.8991016,-9.295436338,6.669966752,7.294571864,4.674469164,2.367401776,0.556062973
10,0.9,-3.17E-08,-6.72E-09,-2.32E-09,-5.50E-10,1.48E-11,1.32E-10,3.29E-11,-1073.664969,-14.98578484,7.40791994,9.405423554,6.466384101,3.499186104,0.873976831
10,1,-4.00E-08,-9.05E-09,-3.33E-09,-8.92E-10,-4.88E-11,1.63E-10,5.39E-11,-1312.380247,-22.18539084,7.767519836,11.64038585,8.53911494,4.899405056,1.308543483
10,1.1,-4.91E-08,-1.18E-08,-4.56E-09,-1.35E-09,-1.54E-10,1.87E-10,8.14E-11,-1568.979033,-30.95718838,7.659346822,13.93690497,10.86689199,6.569954228,1.876552498
10,1.2,-5.91E-08,-1.50E-08,-6.04E-09,-1.92E-09,-3.11E-10,1.99E-10,1.15E-10,-1841.23798,-41.33907667,7.003612674,16.23197277,13.41830498,8.50594977,2.592071616
10,1.3,-6.98E-08,-1.85E-08,-7.77E-09,-2.64E-09,-5.28E-10,1.93E-10,1.55E-10,-2126.792289,-53.3453725,5.73018507,18.46299883,16.1574324,10.69660953,3.466283184
10,1.4,-8.13E-08,-2.25E-08,-9.76E-09,-3.50E-09,-8.14E-10,1.63E-10,2.00E-10,-2423.155707,-66.96806957,3.778656712,20.56857134,19.04477347,13.12597781,4.507421916
10,1.5,-9.35E-08,-2.69E-08,-1.20E-08,-4.52E-09,-1.18E-09,1.03E-10,2.49E-10,-2727.737321,-82.17804554,1.098405443,22.48913637,22.03806444,15.77356012,5.720766711
10,1.6,-1.06E-07,-3.17E-08,-1.46E-08,-5.70E-09,-1.62E-09,8.12E-12,3.01E-10,-3037.860615,-98.92622226,-2.351391234,24.16758547,25.09300549,18.61490507,7.10867158
10,1.7,-1.19E-07,-3.68E-08,-1.73E-08,-7.04E-09,-2.16E-09,-1.29E-10,3.54E-10,-3350.782042,-117.1446884,-6.601785875,25.54975769,28.16391028,21.6221465,8.670630238
10,1.8,-1.33E-07,-4.24E-08,-2.04E-08,-8.55E-09,-2.80E-09,-3.12E-10,4.07E-10,-3663.708764,-136.7478373,-11.6741322,26.58487547,31.20429288,24.76451145,10.40336944
10,1.9,-1.47E-07,-4.82E-08,-2.37E-08,-1.02E-08,-3.54E-09,-5.48E-10,4.56E-10,-3973.818956,-157.633468,-17.58018991,27.22591875,34.16739622,28.0087938,12.3009641
10,2,-1.61E-07,-5.43E-08,-2.72E-08,-1.21E-08,-4.38E-09,-8.42E-10,5.01E-10,-4278.278823,-179.683939,-24.32226325,27.4299578,37.00667929,31.31980087,14.35496986
10,2.1,-1.75E-07,-6.07E-08,-3.10E-08,-1.41E-08,-5.33E-09,-1.20E-09,5.39E-10,-4574.261914,-202.7673436,-31.89338086,27.15844336,39.67626688,34.66077656,16.55456852
10,2.2,-1.89E-07,-6.73E-08,-3.50E-08,-1.63E-08,-6.40E-09,-1.62E-09,5.67E-10,-4858.967479,-226.7387028,-40.27751219,26.3774559,42.13136565,37.99380424,18.88672406
10,2.3,-2.03E-07,-7.40E-08,-3.92E-08,-1.87E-08,-7.57E-09,-2.11E-09,5.82E-10,-5129.638371,-251.4412095,-49.44982597,25.05791866,44.32865224,41.28019358,21.33634794
10,2.4,-2.17E-07,-8.09E-08,-4.35E-08,-2.12E-08,-8.86E-09,-2.67E-09,5.83E-10,-5383.579378,-276.7074815,-59.37698376,23.1757721,46.22663082,44.48085016,23.88647168
10,2.5,-2.30E-07,-8.79E-08,-4.80E-08,-2.38E-08,-1.03E-08,-3.31E-09,5.67E-10,-5618.174387,-302.3608547,-70.01747141,20.71211468,47.78596493,47.55663009,26.51842594
10,2.6,-2.43E-07,-9.50E-08,-5.26E-08,-2.66E-08,-1.18E-08,-4.02E-09,5.31E-10,-5830.903438,-328.2167055,-81.32196982,17.65330954,48.96978422,50.46868051,29.21202518
10,2.7,-2.55E-07,-1.02E-07,-5.73E-08,-2.95E-08,-1.34E-08,-4.81E-09,4.73E-10,-6019.359166,-354.0837943,-93.23376263,13.99105659,49.74396607,53.17876573,31.94575655
10,2.8,-2.67E-07,-1.09E-07,-6.21E-08,-3.24E-08,-1.51E-08,-5.68E-09,3.90E-10,-6181.262563,-379.7656275,-105.6891785,9.722430867,50.07739194,55.64957924,34.69697256
10,2.9,-2.77E-07,-1.16E-07,-6.69E-08,-3.55E-08,-1.69E-08,-6.62E-09,2.81E-10,-6314.478009,-405.0618333,-118.6180663,4.84988791,49.94217872,57.84504088,37.44208633
10,3,-2.87E-07,-1.22E-07,-7.17E-08,-3.87E-08,-1.88E-08,-7.64E-09,1.43E-10,-6417.027475,-429.7695466,-131.9443018,-0.618763137,49.31388495,59.73057895,40.15676864
10,3.1,-2.96E-07,-1.29E-07,-7.64E-08,-4.19E-08,-2.07E-08,-8.73E-09,-2.50E-11,-6487.103826,-453.6847965,-145.5863229,-6.670418239,48.17169197,61.27339671,42.8161459
10,3.2,-3.03E-07,-1.35E-07,-8.11E-08,-4.51E-08,-2.28E-08,-9.90E-09,-2.26E-10,-6523.083146,-476.6038904,-159.4576922,-13.28676832,46.49855968,62.44272263,45.39499813
10,3.3,-3.10E-07,-1.41E-07,-8.57E-08,-4.84E-08,-2.49E-08,-1.11E-08,-4.60E-10,-6523.536009,-498.3247892,-173.4676832,-20.44441944,44.28135691,63.21004396,47.86795599
10,3.4,-3.15E-07,-1.47E-07,-9.02E-08,-5.17E-08,-2.70E-08,-1.24E-08,-7.29E-10,-6487.237648,-518.6484672,-187.5218872,-28.11504242,41.51096607,63.54932282,50.20969612
10,3.5,-3.18E-07,-1.52E-07,-9.45E-08,-5.49E-08,-2.92E-08,-1.38E-08,-1.03E-09,-6413.176933,-537.380249,-201.52284,-36.26555093,38.18236227,63.43719427,52.39513368
10,3.6,-3.21E-07,-1.56E-07,-9.86E-08,-5.81E-08,-3.14E-08,-1.52E-08,-1.38E-09,-6300.564131,-554.33112,-215.3706622,-44.85830695,34.29466667,62.85314579,54.39961153
10,3.7,-3.21E-07,-1.60E-07,-1.02E-07,-6.12E-08,-3.37E-08,-1.67E-08,-1.75E-09,-6148.837389,-569.3190003,-228.9637129,-53.85135242,29.8511743,61.77967758,56.19908481
10,3.8,-3.20E-07,-1.64E-07,-1.06E-07,-6.42E-08,-3.59E-08,-1.81E-08,-2.17E-09,-5957.667896,-582.1699799,-242.1992521,-63.19866569,24.85935638,60.20244319,57.7703004
10,3.9,-3.17E-07,-1.67E-07,-1.09E-07,-6.71E-08,-3.81E-08,-1.97E-08,-2.62E-09,-5726.9637,-592.7195059,-254.9741087,-72.85044158,19.33083745,58.11037004,59.09097016
10,4,-3.13E-07,-1.69E-07,-1.12E-07,-6.99E-08,-4.03E-08,-2.12E-08,-3.11E-09,-5456.872154,-600.8135174,-267.1853514,-82.7533932,13.28134759,55.4957595,60.13993736
10,4.1,-3.07E-07,-1.71E-07,-1.15E-07,-7.25E-08,-4.25E-08,-2.28E-08,-3.64E-09,-5147.780976,-606.309522,-278.7309578,-92.8510743,6.730650188,52.35436614,60.89733535
10,4.2,-2.99E-07,-1.71E-07,-1.17E-07,-7.49E-08,-4.46E-08,-2.44E-08,-4.20E-09,-4800.317906,-609.0776085,-289.5104803,-103.0842201,-0.297554236,48.68545601,61.34473788
10,4.3,-2.90E-07,-1.72E-07,-1.19E-07,-7.72E-08,-4.66E-08,-2.60E-08,-4.80E-09,-4415.348981,-609.0013901,-299.4257036,-113.3911051,-7.775747565,44.49184381,61.46530018
10,4.4,-2.79E-07,-1.71E-07,-1.20E-07,-7.92E-08,-4.86E-08,-2.76E-08,-5.42E-09,-3993.975421,-605.9788745,-308.3812912,-123.7079159,-15.67273618,39.77990876,61.24389034
10,4.5,-2.66E-07,-1.69E-07,-1.21E-07,-8.09E-08,-5.04E-08,-2.91E-08,-6.08E-09,-3537.529153,-599.9232542,-316.2854179,-133.9691365,-23.95381485,34.55958948,60.66721022
10,4.6,-2.51E-07,-1.67E-07,-1.21E-07,-8.24E-08,-5.22E-08,-3.07E-08,-6.77E-09,-3047.567002,-590.7636151,-323.050384,-144.1079456,-32.58095148,28.84435768,59.72390535
10,4.7,-2.34E-07,-1.64E-07,-1.21E-07,-8.36E-08,-5.38E-08,-3.22E-08,-7.48E-09,-2525.863581,-578.4455577,-328.5932095,-154.056622,-41.5129917,22.65117116,58.40466337
10,4.8,-2.16E-07,-1.60E-07,-1.21E-07,-8.46E-08,-5.52E-08,-3.36E-08,-8.21E-09,-1974.40293,-562.9317289,-332.8362031,-163.7469567,-50.70588219,16.00040627,56.70230037
10,4.9,-1.97E-07,-1.55E-07,-1.19E-07,-8.52E-08,-5.65E-08,-3.50E-08,-8.97E-09,-1395.368945,-544.2022599,-335.7075049,-173.1106702,-60.11291146,8.915770299,54.61183499
10,5,-1.76E-07,-1.49E-07,-1.17E-07,-8.54E-08,-5.77E-08,-3.63E-08,-9.74E-09,-791.134678,-522.255109,-337.1415984,-182.0798316,-69.68496694,1.424194295,52.13054959
10,5.1,-1.53E-07,-1.43E-07,-1.15E-07,-8.54E-08,-5.86E-08,-3.76E-08,-1.05E-08,-164.2505468,-497.1063073,-337.07979,-190.5872781,-79.37080684,-6.444293107,49.25803854
