P (s),time (s),Stim_Mech,Obs1_Mech,Obs2_Mech,Obs3_Mech,Obs4_Mech,Obs5_Mech,Obs6_Mech,Stim_Hyd,Obs1_Hyd,Obs2_Hyd,Obs3_Hyd,Obs4_Hyd,Obs5_Hyd,Obs6_Hyd
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,-2.02E-10,-2.21E-12,9.64E-13,2.46E-13,1.82E-14,3.64E-15,-4.62E-16,-12.36056311,0.130511584,0.044045039,0.009967236,0.003959956,0.002398681,0.0011451
10,0.2,-1.03E-09,-5.03E-11,2.15E-12,4.19E-12,1.28E-12,2.12E-13,-3.60E-15,-51.93295401,0.522261675,0.379918878,0.135306745,0.041138616,0.017211648,0.008790862
10,0.3,-2.67E-09,-2.20E-10,-1.73E-11,1.30E-11,7.50E-12,2.28E-12,-9.75E-14,-119.6139796,0.815197883,1.101541508,0.534298886,0.192178515,0.064400753,0.025334491
10,0.4,-5.20E-09,-5.81E-10,-8.94E-11,1.95E-11,2.08E-11,9.33E-12,-1.19E-13,-215.3053052,0.643764357,2.141496267,1.288969326,0.546503059,0.188642175,0.052646164
10,0.5,-8.72E-09,-1.19E-09,-2.48E-10,1.03E-11,3.98E-11,2.41E-11,7.87E-13,-338.41876,-0.293627249,3.383053287,2.416691861,1.16870949,0.444893092,0.10023749
10,0.6,-1.32E-08,-2.10E-09,-5.27E-10,-3.01E-11,6.08E-11,4.84E-11,3.92E-12,-488.0441203,-2.253580603,4.697503828,3.90373523,2.102952262,0.885403556,0.183673878
10,0.7,-1.88E-08,-3.35E-09,-9.56E-10,-1.19E-10,7.78E-11,8.22E-11,1.09E-11,-662.9747114,-5.447911579,5.95281891,5.712571237,3.373207175,1.555056951,0.323426149
10,0.8,-2.54E-08,-4.98E-09,-1.57E-09,-2.73E-10,8.32E-11,1.25E-10,2.34E-11,-861.7431852,-10.04709916,7.02053512,7.789901336,4.985880813,2.488666969,0.542771382
10,0.9,-3.31E-08,-7.01E-09,-2.38E-09,-5.12E-10,6.81E-11,1.73E-10,4.30E-11,-1082.655759,-16.18538542,7.780115503,10.07349272,6.93344337,3.710280582,0.865550066
10,1,-4.17E-08,-9.47E-09,-3.42E-09,-8.51E-10,2.31E-11,2.23E-10,7.09E-11,-1323.818468,-23.96492412,8.120787236,12.49639781,9.19755871,5.2338172,1.314474531
10,1.1,-5.14E-08,-1.24E-08,-4.71E-09,-1.31E-09,-6.20E-11,2.70E-10,1.08E-10,-1583.156297,-33.45858957,7.942066598,14.98928503,11.75139674,7.064189303,1.910081722
10,1.2,-6.19E-08,-1.57E-08,-6.27E-09,-1.89E-09,-1.97E-10,3.10E-10,1.55E-10,-1858.433198,-44.71185181,7.153911609,17.48185061,14.56130831,9.198401313,2.670153462
10,1.3,-7.34E-08,-1.95E-08,-8.10E-09,-2.62E-09,-3.92E-10,3.36E-10,2.12E-10,-2147.268173,-57.74427215,5.67687036,19.90389557,17.58812212,11.62648143,3.609405513
10,1.4,-8.57E-08,-2.38E-08,-1.02E-08,-3.51E-09,-6.57E-10,3.41E-10,2.79E-10,-2447.155657,-72.55081268,3.442243341,22.18625661,20.78822825,14.33227071,4.739316952
10,1.5,-9.87E-08,-2.85E-08,-1.26E-08,-4.56E-09,-1.00E-09,3.20E-10,3.54E-10,-2755.482415,-89.10310456,0.392216124,24.26163171,24.11453332,17.29412848,6.068041288
10,1.6,-1.12E-07,-3.36E-08,-1.53E-08,-5.79E-09,-1.43E-09,2.66E-10,4.37E-10,-3069.546872,-107.3506786,-3.520071758,26.06529492,27.51731606,20.48558917,7.600377239
10,1.7,-1.27E-07,-3.91E-08,-1.83E-08,-7.20E-09,-1.96E-09,1.73E-10,5.26E-10,-3386.577937,-127.2221653,-8.330518043,27.53570873,30.94499653,23.87598228,9.337789559
10,1.8,-1.41E-07,-4.50E-08,-2.16E-08,-8.79E-09,-2.59E-09,3.26E-11,6.20E-10,-3703.752865,-148.626522,-14.06410448,28.61505641,34.34483512,27.43102022,11.27847241
10,1.9,-1.56E-07,-5.13E-08,-2.51E-08,-1.06E-08,-3.33E-09,-1.60E-10,7.17E-10,-4018.218007,-171.4542236,-20.73498887,29.24969892,37.66356456,31.11335178,13.41744614
10,2,-1.71E-07,-5.79E-08,-2.89E-08,-1.25E-08,-4.18E-09,-4.10E-10,8.13E-10,-4327.105872,-195.5785184,-28.34664073,29.3905807,40.84797389,34.88308813,15.74668123
10,2.1,-1.87E-07,-6.48E-08,-3.30E-08,-1.47E-08,-5.15E-09,-7.25E-10,9.08E-10,-4627.554784,-220.8567102,-36.8920279,28.9935828,43.84544829,38.69830401,18.2552435
10,2.2,-2.02E-07,-7.20E-08,-3.73E-08,-1.70E-08,-6.24E-09,-1.11E-09,9.97E-10,-4916.727505,-247.131462,-46.35384784,28.0198263,46.60446878,42.51551698,20.92945656
10,2.3,-2.18E-07,-7.93E-08,-4.18E-08,-1.95E-08,-7.45E-09,-1.57E-09,1.08E-09,-5191.829323,-274.2321614,-56.70480923,26.43593179,49.07507873,46.2901492,23.75307954
10,2.4,-2.33E-07,-8.69E-08,-4.66E-08,-2.22E-08,-8.79E-09,-2.10E-09,1.15E-09,-5450.126769,-301.9762939,-67.90795541,24.21423216,51.20931348,49.97696963,26.70749698
10,2.5,-2.47E-07,-9.45E-08,-5.15E-08,-2.51E-08,-1.03E-08,-2.72E-09,1.20E-09,-5688.964987,-330.170864,-79.91703245,21.33294491,52.96159923,53.53051932,29.77191962
10,2.6,-2.62E-07,-1.02E-07,-5.65E-08,-2.81E-08,-1.18E-08,-3.41E-09,1.24E-09,-5905.785085,-358.6138497,-92.67690299,17.77630369,54.28912174,56.90552028,32.92359429
10,2.7,-2.75E-07,-1.10E-07,-6.16E-08,-3.12E-08,-1.35E-08,-4.20E-09,1.26E-09,-6098.140863,-387.0956818,-106.1240032,13.5346489,55.15216494,60.05726786,36.13802137
10,2.8,-2.88E-07,-1.18E-07,-6.69E-08,-3.45E-08,-1.54E-08,-5.07E-09,1.26E-09,-6263.714864,-415.4007444,-120.1868397,8.604478222,55.5144194,62.94200635,39.38917867
10,2.9,-3.00E-07,-1.25E-07,-7.22E-08,-3.79E-08,-1.73E-08,-6.03E-09,1.23E-09,-6400.333696,-443.3088924,-134.7865252,2.988458312,55.34326087,65.51728751,42.64975029
10,3,-3.11E-07,-1.33E-07,-7.75E-08,-4.13E-08,-1.93E-08,-7.08E-09,1.17E-09,-6505.982526,-470.5969796,-149.8373495,-3.304601484,54.60999912,67.74231114,45.89135923
10,3.1,-3.21E-07,-1.40E-07,-8.28E-08,-4.49E-08,-2.14E-08,-8.21E-09,1.08E-09,-6578.818664,-497.040391,-165.2473846,-10.25981274,53.29009674,69.57824736,49.08480268
10,3.2,-3.30E-07,-1.47E-07,-8.80E-08,-4.84E-08,-2.37E-08,-9.43E-09,9.55E-10,-6617.184171,-522.4145734,-180.9191206,-17.85630796,51.36335815,70.98853977,52.20028856
10,3.3,-3.38E-07,-1.53E-07,-9.32E-08,-5.21E-08,-2.60E-08,-1.07E-08,7.93E-10,-6619.617411,-546.4965561,-196.7501285,-26.06737602,48.81408835,71.93918888,55.20767227
10,3.4,-3.44E-07,-1.59E-07,-9.82E-08,-5.57E-08,-2.83E-08,-1.21E-08,5.92E-10,-6584.863475,-569.0664564,-212.6337488,-34.86063195,45.63122143,72.39901491,58.0766925
10,3.5,-3.49E-07,-1.65E-07,-1.03E-07,-5.93E-08,-3.07E-08,-1.36E-08,3.51E-10,-6511.883422,-589.9089613,-228.4598,-44.19821984,41.80841897,72.33989943,60.7772049
10,3.6,-3.52E-07,-1.71E-07,-1.08E-07,-6.29E-08,-3.32E-08,-1.51E-08,6.67E-11,-6399.862274,-608.8147799,-244.1153062,-54.0370476,37.34413804,71.73700489,63.27941249
10,3.7,-3.53E-07,-1.75E-07,-1.12E-07,-6.64E-08,-3.57E-08,-1.67E-08,-2.61E-10,-6248.215725,-625.5820589,-259.4852374,-64.32905219,32.24166921,70.56897167,65.55409175
10,3.8,-3.53E-07,-1.79E-07,-1.16E-07,-6.98E-08,-3.82E-08,-1.83E-08,-6.34E-10,-6056.595505,-640.0177537,-274.4532621,-75.02149364,26.50914454,68.81809177,67.5728132
10,3.9,-3.51E-07,-1.83E-07,-1.20E-07,-7.31E-08,-4.07E-08,-2.00E-08,-1.05E-09,-5824.893386,-651.9389493,-288.9025057,-86.05727641,20.15951597,66.47045891,69.30815553
10,4,-3.48E-07,-1.86E-07,-1.23E-07,-7.63E-08,-4.32E-08,-2.17E-08,-1.52E-09,-5553.243787,-661.1741242,-302.7163119,-97.37529624,13.21050445,63.51609426,70.73391222
10,4.1,-3.42E-07,-1.88E-07,-1.27E-07,-7.94E-08,-4.56E-08,-2.35E-08,-2.03E-09,-5242.024969,-667.5643503,-315.7790046,-108.9108106,5.684520323,59.94904772,71.82528958
10,4.2,-3.34E-07,-1.89E-07,-1.29E-07,-8.22E-08,-4.81E-08,-2.53E-08,-2.59E-09,-4891.85881,-670.9644238,-327.9766439,-120.5958308,-2.391444424,55.76747434,72.55909537
10,4.3,-3.25E-07,-1.89E-07,-1.31E-07,-8.48E-08,-5.04E-08,-2.71E-08,-3.19E-09,-4503.609157,-671.2439199,-339.1977745,-132.3595336,-10.98595137,50.97368564,72.91391706
10,4.4,-3.14E-07,-1.89E-07,-1.33E-07,-8.72E-08,-5.27E-08,-2.89E-08,-3.84E-09,-4078.37877,-668.2881671,-349.334162,-144.1286904,-20.06327737,45.57417595,72.87028885
10,4.5,-3.01E-07,-1.88E-07,-1.34E-07,-8.94E-08,-5.49E-08,-3.07E-08,-4.53E-09,-3617.504872,-661.999135,-358.2815123,-155.8281117,-29.58360197,39.57962349,72.41084668
