P (s),time (s),Stim_Mech,Obs1_Mech,Obs2_Mech,Obs3_Mech,Obs4_Mech,Obs5_Mech,Obs6_Mech,Stim_Hyd,Obs1_Hyd,Obs2_Hyd,Obs3_Hyd,Obs4_Hyd,Obs5_Hyd,Obs6_Hyd
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,-1.38E-10,-4.01E-12,-8.22E-13,-3.40E-13,-1.92E-13,-1.16E-13,-5.33E-14,-11.33966634,0.064884508,0.024033944,0.008988597,0.004340649,0.002296854,0.001089698
10,0.2,-6.65E-10,-4.32E-11,-1.11E-11,-4.14E-12,-2.17E-12,-1.31E-12,-6.14E-13,-47.33218882,0.274602428,0.166553783,0.073272376,0.034990237,0.018171901,0.008430793
10,0.3,-1.66E-09,-1.57E-10,-4.71E-11,-1.78E-11,-8.94E-12,-5.29E-12,-2.50E-12,-108.6129238,0.507661959,0.464217931,0.236421325,0.11767175,0.060982701,0.02763516
10,0.4,-3.17E-09,-3.79E-10,-1.26E-10,-4.93E-11,-2.44E-11,-1.42E-11,-6.70E-12,-194.9677313,0.622551164,0.904393541,0.520608724,0.272890798,0.1434925,0.063941874
10,0.5,-5.21E-09,-7.35E-10,-2.63E-10,-1.07E-10,-5.30E-11,-3.05E-11,-1.43E-11,-305.8116575,0.48923681,1.458814579,0.935803611,0.516122041,0.277272248,0.122393847
10,0.6,-7.80E-09,-1.25E-09,-4.75E-10,-2.00E-10,-9.93E-11,-5.67E-11,-2.64E-11,-440.2512783,-0.006662716,2.089715253,1.481720816,0.857517132,0.472138858,0.207760427
10,0.7,-1.09E-08,-1.94E-09,-7.74E-10,-3.36E-10,-1.68E-10,-9.57E-11,-4.42E-11,-597.1317696,-0.963145722,2.754894418,2.15054968,1.302398375,0.735844331,0.324430295
10,0.8,-1.46E-08,-2.81E-09,-1.17E-09,-5.24E-10,-2.64E-10,-1.50E-10,-6.90E-11,-775.0797451,-2.462871477,3.411259939,2.929517099,1.852105613,1.074017067,0.476306964
10,0.9,-1.88E-08,-3.89E-09,-1.68E-09,-7.69E-10,-3.93E-10,-2.23E-10,-1.02E-10,-972.5379993,-4.576275338,4.01640028,3.802909412,2.505112563,1.490486093,0.66679459
10,1,-2.36E-08,-5.17E-09,-2.30E-09,-1.08E-09,-5.57E-10,-3.18E-10,-1.44E-10,-1187.764681,-7.358834174,4.529595091,4.752207356,3.256750963,1.986895114,0.898594718
10,1.1,-2.88E-08,-6.67E-09,-3.05E-09,-1.46E-09,-7.62E-10,-4.36E-10,-1.97E-10,-1418.863584,-10.85344688,4.912230181,5.757174965,4.100032431,2.563090464,1.173737727
10,1.2,-3.44E-08,-8.37E-09,-3.92E-09,-1.91E-09,-1.01E-09,-5.81E-10,-2.61E-10,-1663.800432,-15.09202409,5.128256853,6.796739067,5.026290544,3.217423245,1.493589735
10,1.3,-4.05E-08,-1.03E-08,-4.92E-09,-2.45E-09,-1.30E-09,-7.54E-10,-3.39E-10,-1920.421791,-20.09580513,5.144305944,7.849198603,6.025348975,3.946848966,1.858861414
10,1.4,-4.69E-08,-1.24E-08,-6.06E-09,-3.06E-09,-1.65E-09,-9.58E-10,-4.30E-10,-2186.46952,-25.87563365,4.929870632,8.892498057,7.085724693,4.747034748,2.269613032
10,1.5,-5.37E-08,-1.47E-08,-7.32E-09,-3.76E-09,-2.05E-09,-1.19E-09,-5.35E-10,-2459.592538,-32.43206245,4.457519407,9.904463427,8.194792987,5.612443175,2.725259882
10,1.6,-6.07E-08,-1.72E-08,-8.72E-09,-4.54E-09,-2.49E-09,-1.46E-09,-6.56E-10,-2737.367073,-39.75568253,3.703108174,10.86308383,9.338990838,6.536439581,3.224584941
10,1.7,-6.80E-08,-1.99E-08,-1.02E-08,-5.40E-09,-3.00E-09,-1.77E-09,-7.93E-10,-3017.315009,-47.8275686,2.645936671,11.74677688,10.50401982,7.511406893,3.765758925
10,1.8,-7.54E-08,-2.27E-08,-1.19E-08,-6.35E-09,-3.55E-09,-2.11E-09,-9.46E-10,-3296.916977,-56.61974097,1.268847377,12.53461937,11.67503872,8.528863409,4.346366453
10,1.9,-8.29E-08,-2.57E-08,-1.36E-08,-7.38E-09,-4.17E-09,-2.49E-09,-1.12E-09,-3573.630476,-66.09561547,-0.441709664,13.20654023,12.83683649,9.579576031,4.963436105
10,2,-9.05E-08,-2.88E-08,-1.55E-08,-8.48E-09,-4.83E-09,-2.90E-09,-1.30E-09,-3844.909076,-76.21046297,-2.495632021,13.74349045,13.97399058,10.65366901,5.613473275
10,2.1,-9.81E-08,-3.21E-08,-1.75E-08,-9.66E-09,-5.55E-09,-3.35E-09,-1.51E-09,-4108.216327,-86.9118795,-4.899139367,14.12759877,15.07101629,11.74072954,6.292495394
10,2.2,-1.06E-07,-3.54E-08,-1.95E-08,-1.09E-08,-6.32E-09,-3.84E-09,-1.73E-09,-4361.041893,-98.14028291,-7.654768213,14.34231477,16.11251037,12.82991192,6.996069454
